group,layer,male_pct,female_pct,youth_pct,young_adult_pct,middle_plus_pct,evidence_label,confidence,source_url,source_notes,model_notes
Nogizaka46,public,78,22,15,45,40,"Public/fan survey anchor",medium,https://www.gem-standard.com/columns/1781,"GEM Standard 2026 H1 places Nogizaka46/Hinatazaka46/Sakurazaka46 as female share 25% or less and average age 36-40. Older LINE Research/PR TIMES 2020 reported Nogizaka about male 70/female 30 with high 20s and 50+ shares.",Use as broad public/oshi-fan survey layer; not necessarily live-core spender split.
Nogizaka46,otaku,88,12,8,32,60,"User calibration + survey direction",low_medium,https://www.gem-standard.com/columns/1781,"Survey direction is male-skewed and older than current younger girl-group peers; user reports core/live impression around 90/10 male/female and majority middle age+.",Otaku layer is more male and older than public survey layer.
Nogizaka46,core,90,10,5,30,65,"User calibration",low_medium,,"User calibration: Nogizaka core around 90/10 male/female and majority middle age+.",Use for release-event spenders/strong fans rather than total casual awareness.
=LOVE,public,50,50,30,55,15,"Public/fan survey anchor",medium,https://www.gem-standard.com/columns/1781,"GEM Standard 2026 H1 groups =LOVE with FRUITS ZIPPER: female share 40-50% and average age 30 or below. This is lower-female than fan/live anecdotes but stronger as a broad survey anchor.",Public layer is younger and more gender-balanced than Sakamichi.
=LOVE,otaku,40,60,25,60,15,"Industry article + fan-side observation",low_medium,https://realsound.jp/2023/09/post-1443394.html,"Real Sound states =LOVE/IKONOIJOY female popularity is strong, citing about 60% female FC and about 70% female live audience; Yahoo Chiebukuro replies also describe live audiences around 4:6 or 3:7 male/female.",Otaku/live layer should skew female more than GEM broad public-fan map.
=LOVE,core,40,60,20,55,25,"FC/live observation + model assumption",low_medium,https://realsound.jp/2023/09/post-1443394.html,"FC/live numbers suggest female majority; exact core spender gender is not audited.",Core monetization is online/release-linked, not post-live tokutenkai.
iLiFE!,public,35,65,40,50,10,"Fan-side observation + viral youth reach",low_medium,https://ja.wikipedia.org/wiki/ILiFE%21,"Wikipedia notes iLiFE!'s TikTok hit reached beyond existing idol fans into Z-generation/general layers; fan-side sources often describe many female fans.",Public awareness should skew youth/female through TikTok/member content.
iLiFE!,otaku,40,60,25,60,15,"Fan-side observation",low_medium,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10317913675,"Yahoo Chiebukuro answer estimates iLiFE! overall around female 60/male 40, with member-level differences. Real Sound scene discussion says groups like HEROINES/iLiFE! need to bring in many female fans.",Unusually female-heavy for underground compared with older chika baseline.
iLiFE!,core,45,55,15,55,30,"Fan-side observation + tokutenkai model assumption",low,https://heroines.jp/news/public/_/50gs7f5ijeek6r2d.html,"HEROINES official news shows iLiFE! women-only live GALLiFE! at Zepp Shinjuku with pre-benefit session; supports meaningful female segment. Exact core spender split unknown.",Keep female majority but add more male/middle_plus weight because high-spend tokutenkai often shifts older/male.
Takamine no Nadeshiko,public,35,65,45,45,10,"HoneyWorks public-audience inference",low_medium,https://premium.kai-you.net/article/390,"KAI-YOU describes HoneyWorks as a youth culture with strong teenage-girl support. Takane's HoneyWorks pipeline implies a female/youth public reach channel.",Public layer can be young/female even when live/core are male-skewed.
Takamine no Nadeshiko,otaku,70,30,20,55,25,"Fan-side observation",low,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10315718020,"Yahoo Chiebukuro AI/fan-side summary says male around 70/female 30, live events sometimes around 80% male; page also notes female fans are comparatively visible.",Treat cautiously; use to model gap between female-friendly public reach and male-skewed live/core.
Takamine no Nadeshiko,core,75,25,15,50,35,"Model assumption from live/core conversion",low,https://takanekofc.com/news/public/_/v3ca0f81in3d68uv.html,"Official fanmeeting listing includes women-only area, indicating female attendance is considered, but not a demographic split.",Core layer remains male-skewed until stronger member-attachment/benefit-channel data appears; no post-live tokutenkai default.
Akishibu project,public,70,30,10,35,55,"Scene/model assumption",low,,"No direct demographic source found in this pass. Modeled as veteran underground/HEROINES-related group with older residual audience.",Public layer is limited and older than viral youth groups.
Akishibu project,otaku,80,20,8,37,55,"Scene/model assumption",low,,"No direct demographic source found. Use traditional chika-idol male-skew baseline unless field data appears.",Otaku recovery should depend on repeated lives and scene reputation.
Akishibu project,core,85,15,5,35,60,"Model assumption from veteran core/tokutenkai",low,,"No direct demographic source found. Core calibrated as older male high-repeat/high-spend support.",Core erosion after graduations should remove mature fan equity.
Jams Collection,public,65,35,15,50,35,"Official broad wording + fan-side observation",low_medium,https://faveconnect.com/news/n0p3wdwc86fz8vu1.html,"Official FC/press wording says Jams attracts regardless of gender; Yahoo Chiebukuro answer estimates male 80/female 20 and age 20-40s.",Public can be less male-skewed than core because official positioning is broad.
Jams Collection,otaku,80,20,10,55,35,"Fan-side observation",low_medium,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14306160419,"Yahoo Chiebukuro answer estimates Jams age 20-40s and male 80/female 20.",Otaku layer should look like strong underground direct-monetization audience.
Jams Collection,core,80,20,5,50,45,"Fan-side observation + FC cheki/member-plan model",low_medium,https://jamscollection.jp/static/service/,"Official FC has member-specific plans and cheki ticket mechanics; fan Q&A gives 80/20 male/female.",Core is direct fan economy with member-specific spending.
Kirameki Unforent,public,65,35,15,45,40,"Scene/model assumption + reboot story",low,https://kirafore.com/,"Official/reboot sources establish revival and FC, not fan split.",Public may include nostalgia/reboot-story audience rather than pure new youth.
