key,english,current_zh_cn,notes
lives_enable_tokutenkai,"Enable tokutenkai / cheki","启用特典会 / cheki","Cheki may be better translated as 切吉, 拍立得, or kept in katakana/romaji depending on your preferred fan terminology."
lives_post_live_tokutenkai,"Post-live tokutenkai / cheki","演出后特典会 / cheki","Same terminology choice as above."
lives_tab_festival,"Festival","音乐节","Could also be 活动节 / Festival depending on whether you want general JP-idol usage or broader Chinese UI wording."
scout_tab_freelancer,"Freelancers","自由推荐","Could also be 自由候选 / 自由艺人 / 自由职业 depending on gameplay meaning."
scout_tab_transfer,"Transfer Targets","转移目标","Likely should be 转籍目标, 挖角目标, or 转会目标 based on intended management fantasy."
shell_shortlist,"Shortlist","候选名单","Could also be 短名单, 观察名单, or 重点名单."
management_roster,"Management roster","经营名册","Could also be 旗下阵容 / 管理阵容 / 当前阵容."
group_union,"Union","联盟","May need a more specific term if this field means label/distribution network rather than labor union."
lives_perf,"Perf.","表现","Could also be 演出评分 / 表现值."
lives_cap,"Cap.","容量","Probably should be 容纳人数 / 上限 / 容量 depending on how venue capacity is shown elsewhere."
likelihood_highly_likely,"Highly likely to agree","极有可能同意","Could be more formal as 极可能接受 / 很可能同意."
likelihood_likely,"Likely to agree","大概会同意","Could be more natural as 较可能同意 / 很可能同意."
