tier,layer,male_pct,female_pct,youth_pct,young_adult_pct,middle_plus_pct,evidence_label,confidence,model_notes
S,public,70,30,15,45,40,"Tier model anchored by Sakamichi/Nogizaka public fan maps",medium,"S-tier female idol phenomena in the current scenario should default older and male-skewed unless they are K-pop-like or explicitly female/youth-driven."
S,otaku,82,18,10,35,55,"Tier model",low_medium,"Strong fans skew more male and older than public recognition."
S,core,88,12,7,30,63,"Tier model + Nogizaka calibration",low_medium,"Core/release-event spenders are strongly male and middle_plus by default."
A,public,55,45,25,50,25,"Tier model from =LOVE/FRUITS ZIPPER-style modern major groups",low_medium,"A-tier groups are more diverse; default closer to balanced unless Sakamichi/legacy major override applies."
A,otaku,55,45,20,50,30,"Tier model",low,"Otaku layer remains balanced but can skew male for legacy groups or female for KAWAII LAB/IKONOIJOY-like groups."
A,core,60,40,15,50,35,"Tier model",low,"Core is slightly more male/older because spending intensity usually shifts that way."
B,public,50,50,35,50,15,"Tier model from viral/strong-underground modern groups",low,"B-tier strong groups may have large youth/female public reach if TikTok/content-driven."
B,otaku,60,40,25,55,20,"Tier model",low,"Otaku layer skews somewhat male unless group has explicit female/youth brand pull."
B,core,68,32,15,50,35,"Tier model",low,"Core direct spending and benefit demand skew more male/middle_plus than public."
C,public,60,40,25,50,25,"Tier model",low,"C-tier can include strong underground and quasi-major groups; public reach is usually less broad than A/B viral cases."
C,otaku,72,28,18,52,30,"Tier model from underground live economy",low,"Scene attendees skew male, young_adult to middle_plus."
C,core,78,22,10,50,40,"Tier model from direct fan monetization",low,"Core is direct relationship and spending driven."
D,public,70,30,15,45,40,"Tier model from professional underground/veteran groups",low,"Public awareness is narrower and often older/male unless the group has a viral youth hook."
D,otaku,80,20,10,45,45,"Tier model from chika/professional underground",low,"Otaku layer defaults traditional male-skewed."
D,core,85,15,7,38,55,"Tier model from tokutenkai/cheki economy",low,"Core is older and male-skewed, with high member-specific relationship value."
E,public,75,25,20,45,35,"Tier model from small underground",low,"Small groups may have little public layer; use shares only after converting from absolute counts."
E,otaku,82,18,12,48,40,"Tier model",low,"Small underground audiences often come from existing chika-scene otaku."
E,core,88,12,8,42,50,"Tier model",low,"Small groups may rely on a small number of high-repeat/high-spend core supporters."
F,public,80,20,20,45,35,"Tier model for tiny/local/incipient groups",low,"F-tier public count may be near zero; demographic shares are placeholders."
F,otaku,85,15,12,48,40,"Tier model",low,"Early audience usually comes from existing small-scene fans."
F,core,90,10,8,42,50,"Tier model",low,"A few core spenders can dominate economics; high variance expected."
I,public,50,50,33,34,33,"Inactive/no managed audience placeholder",low,"Use only as neutral placeholder."
I,otaku,50,50,33,34,33,"Inactive/no managed audience placeholder",low,"Use only as neutral placeholder."
I,core,50,50,33,34,33,"Inactive/no managed audience placeholder",low,"Use only as neutral placeholder."
