group,preset_id,policy_item,default_value,staff_attitude,member_attitude,fan_attitude,staff_comment,member_comment,fan_comment
=LOVE,mature_ip_sustain,live_frequency,2,1,1,0,"Current scale is better served by selective concerts and release-linked activity than dense live booking.","Members can sustain selective live work if individual schedules are protected.","Fans expect quality concerts, not frequent small-event access."
=LOVE,mature_ip_sustain,online_benefit_emphasis,5,3,1,2,"Online signing is high revenue per member-hour and fits the release economy.","Workload is manageable compared with long physical sessions, but still needs recovery blocks.","Fans expect release-linked access and member interaction."
=LOVE,mature_ip_sustain,shooting_handshake_emphasis,2,0,-1,1,"Physical release events can support sales but are less efficient than online signing.","Long physical contact schedules are more tiring and harder to fit around individual work.","Some fans value in-person access, but it is not the main expectation."
=LOVE,mature_ip_sustain,post_live_tokutenkai_emphasis,0,-3,-2,-1,"Post-live tokutenkai conflicts with the major/IP operating model and would distort scheduling.","Members would see this as an unnecessary underground-style workload increase.","Fans may find it off-brand compared with release events and concerts."
=LOVE,mature_ip_sustain,media_ip_emphasis,5,2,1,2,"Media and IP leverage protect the group's scale and commercial value.","Individual media can be positive if it does not cannibalize recovery or group prep.","Fans like seeing members and the brand in visible places."
=LOVE,mature_ip_sustain,production_investment,4,-1,1,2,"High production spend is justified but must be timed against cash flow and venue commitments.","Members generally benefit from quality songs, visuals and costumes.","Fans expect polished releases, concerts and visuals."
=LOVE,mature_ip_sustain,rest_protection,4,-1,3,0,"Protected rest may reduce short-term booking flexibility.","Members strongly benefit from predictable recovery around release and media cycles.","Fans may not notice directly, but fewer absences protects trust."
=LOVE,mature_ip_sustain,roster_renewal_system,1,-1,-2,-2,"Routine generational replacement is not the operating model.","Members may read this as reducing the value of the stable roster.","Fans are attached to the current member system."
Nogizaka46,generational_renewal,live_frequency,2,1,0,0,"Selective tours, concerts and release events fit the scale better than dense small lives.","Live work is acceptable when balanced with media and individual schedules.","Fans expect major concerts and tours rather than constant small lives."
Nogizaka46,generational_renewal,online_benefit_emphasis,4,2,0,2,"Online/release-linked events efficiently support the physical release economy.","Manageable if spread across generations and seniority.","Fans expect structured access around releases."
Nogizaka46,generational_renewal,shooting_handshake_emphasis,3,1,-1,2,"Physical release events can support sales but increase logistics and member load.","Long physical events are tiring, especially around school and media schedules.","Fans historically value release-event contact and member access."
Nogizaka46,generational_renewal,post_live_tokutenkai_emphasis,0,-3,-2,-2,"Post-live tokutenkai conflicts with the major generational system.","Members would see it as a major workload and brand mismatch.","Fans do not expect underground-style post-live cheki."
Nogizaka46,generational_renewal,media_ip_emphasis,5,3,1,2,"Media/IP scale is central to brand continuity.","Good individual work helps careers but can create selection pressure.","Fans expect broad visibility and prestigious work."
Nogizaka46,generational_renewal,production_investment,5,-1,1,2,"High investment is expected but must support brand continuity.","Members benefit from polished production and large stages.","Fans expect top-tier production values."
Nogizaka46,generational_renewal,rest_protection,3,-1,2,0,"Rest reduces scheduling flexibility but prevents absence waves.","Members need recovery across generations and individual schedules.","Fans care indirectly through availability and performance quality."
Nogizaka46,generational_renewal,roster_renewal_system,5,3,0,1,"Generational intake is necessary for institutional continuity.","New members gain opportunity while seniors may feel pressure; response is mixed.","Fans accept renewal but react strongly to selection and center choices."
iLiFE!,high_frequency_growth,live_frequency,5,2,-2,2,"More lives create cash, visibility and benefit windows, but staffing gets tight.","Momentum is exciting, but fatigue and illness risk become serious.","Fans want frequent chances to attend and meet members."
iLiFE!,high_frequency_growth,online_benefit_emphasis,2,1,0,1,"Online benefits add revenue without venue dependency.","It can be easier than another full live day, but still consumes rest time.","Fans may welcome extra access, though live/tokutenkai remains the core."
iLiFE!,high_frequency_growth,shooting_handshake_emphasis,3,1,-1,1,"Physical events can monetize demand but add operations pressure.","Physical contact schedules are draining on top of frequent lives.","Fans who cannot catch post-live sessions may value dedicated access."
iLiFE!,high_frequency_growth,post_live_tokutenkai_emphasis,5,3,-3,3,"Post-live tokutenkai is central to the revenue engine.","Members face long service time after performance, with high fatigue risk.","Fans strongly want immediate member-contact opportunities."
iLiFE!,high_frequency_growth,media_ip_emphasis,3,1,0,1,"Media helps broaden demand but can collide with the live machine.","Members may like visibility if it does not erase rest.","Fans welcome broader recognition but still expect frequent events."
iLiFE!,high_frequency_growth,production_investment,3,-1,1,1,"Investment helps venue ambition but competes with operating cash.","Members benefit from stronger stages and visuals.","Fans respond to signs that the group is leveling up."
iLiFE!,high_frequency_growth,rest_protection,1,-2,3,-1,"Strict rest would force event declines and lower short-term GMV.","Members need protection from the always-on pressure.","Fans may dislike fewer chances, but absences can hurt trust more."
iLiFE!,high_frequency_growth,roster_renewal_system,1,1,-1,0,"Recruitment helps expansion and coverage, but too many groups can dilute resources.","Members may fear replacement or internal crowding.","Fans are mixed unless new members are clearly integrated."
Takamine no Nadeshiko,awareness_conversion_push,live_frequency,3,1,0,1,"More lives can help conversion only if access and merchandising are ready.","Members need chances to build identity, but empty exposure is tiring.","Fans may attend more if the path from awareness to support is clear."
Takamine no Nadeshiko,awareness_conversion_push,online_benefit_emphasis,3,2,0,2,"Online/release-linked access helps convert broad awareness without relying on post-live systems.","Workload is manageable if planned around media and content work.","Fans who know the songs need clearer member-access opportunities."
Takamine no Nadeshiko,awareness_conversion_push,shooting_handshake_emphasis,2,1,-1,1,"Physical access can help conversion, but logistics and brand fit need care.","Physical sessions can be tiring if layered onto media/content demands.","Core fans may welcome more direct access."
Takamine no Nadeshiko,awareness_conversion_push,post_live_tokutenkai_emphasis,0,-2,-2,-1,"Post-live tokutenkai is not the current operating model; forcing it may be disruptive.","Members may see it as an abrupt underground-style workload shift.","Fans may want access, but expectation should be built through appropriate channels."
Takamine no Nadeshiko,awareness_conversion_push,media_ip_emphasis,4,2,0,1,"Media and HoneyWorks/content reach are important but do not solve conversion alone.","Members gain visibility, but need identity beyond the music pipeline.","Casual fans recognize the content; core fans want stronger attachment points."
Takamine no Nadeshiko,awareness_conversion_push,production_investment,4,-1,1,2,"Costumes, merch timing and live production can make awareness feel credible.","Members benefit from visible commitment to the group identity.","Fans notice when visuals, merch and stage ambition match the group's reach."
Takamine no Nadeshiko,awareness_conversion_push,rest_protection,3,-1,2,0,"Rest protection slightly limits conversion pushes but stabilizes quality.","Members need recovery across content, live and media work.","Fans mainly care that activities feel consistent and reliable."
Takamine no Nadeshiko,awareness_conversion_push,roster_renewal_system,1,0,-1,-1,"Roster renewal is not the core issue compared with conversion infrastructure.","Members need identity development, not replacement pressure.","Fans need attachment to current members before renewal becomes useful."
Akishibu project,veteran_rebuild,live_frequency,4,2,-1,2,"Moderate-high live frequency supports cash and queue rebuilding.","Veterans and new members can be strained if every week becomes dense.","Fans need repeated chances to rebuild habits and member attachment."
Akishibu project,veteran_rebuild,online_benefit_emphasis,1,0,0,0,"Online benefits are supplementary rather than the rebuild engine.","May be manageable but not central to morale.","Fans are more focused on live/member relationship recovery."
Akishibu project,veteran_rebuild,shooting_handshake_emphasis,2,0,-1,1,"Dedicated physical access can support fan equity rebuilding.","Long sessions can expose weak queues for new members.","Fans attached to specific members may appreciate more access."
Akishibu project,veteran_rebuild,post_live_tokutenkai_emphasis,4,3,-2,3,"Post-live tokutenkai is the practical short-term monetization and conversion engine.","Newer members may struggle with low utilization; veterans face service fatigue.","Fans want direct member contact and visible availability."
Akishibu project,veteran_rebuild,media_ip_emphasis,2,0,0,0,"Media is helpful but not enough to reverse veteran decline alone.","Members benefit only if exposure becomes member-specific demand.","Fans care more about the live and member relationship loop."
Akishibu project,veteran_rebuild,production_investment,2,-1,1,1,"Investment can signal a serious rebuild but must not threaten cash stability.","Members need signs that management believes in the group.","Fans may respond to refreshed costumes, songs and photos."
Akishibu project,veteran_rebuild,rest_protection,2,-1,2,0,"Some protection is wise, but too much rest slows revenue recovery.","Members need enough recovery to avoid further turnover.","Fans mainly notice if absences or weak performances increase."
Akishibu project,veteran_rebuild,roster_renewal_system,2,1,0,-1,"Recruitment is needed after graduations, but fan equity rebuild is slower than headcount replacement.","New members need patient development; veterans need recognition.","Fans do not automatically transfer attachment to replacements."
Jams Collection,direct_monetization_underground,live_frequency,4,2,-1,2,"Strong live activity supports the direct fan economy.","Members can benefit from momentum, but fatigue rises around milestones.","Core fans respond to frequent meaningful lives."
Jams Collection,direct_monetization_underground,online_benefit_emphasis,2,0,0,0,"Online benefits are supplementary to live/direct monetization.","Manageable if not piled onto live-heavy weeks.","Fans may use it, but it is not the main identity."
Jams Collection,direct_monetization_underground,shooting_handshake_emphasis,2,0,-1,1,"Physical access can support sales but is secondary to live/benefit/birthday activity.","Extra physical sessions add fatigue.","Some fans value planned access outside live days."
Jams Collection,direct_monetization_underground,post_live_tokutenkai_emphasis,4,3,-2,3,"Post-live tokutenkai, merch and birthday events support the direct fan economy.","Members face workload risk if milestone prep and tokutenkai stack.","Fans value direct contact and member-specific events."
Jams Collection,direct_monetization_underground,media_ip_emphasis,2,0,0,0,"Media helps, but live mobilization is the stronger health signal.","Members gain little if media does not deepen core fandom.","Fans are more motivated by live identity and member access."
Jams Collection,direct_monetization_underground,production_investment,3,-1,1,1,"Investment helps one-man ambition but should match cash flow.","Members benefit from serious stages and visuals.","Fans respond to milestone seriousness."
Jams Collection,direct_monetization_underground,rest_protection,2,-1,2,0,"Rest must be protected around major milestones, but full conservatism slows the direct economy.","Members need recovery after large goals or roster shocks.","Fans care when fatigue damages performance or availability."
Jams Collection,direct_monetization_underground,roster_renewal_system,1,0,-1,-1,"Routine renewal is not central, but roster shocks require response.","Members may worry after major departures.","Fans may resist if replacements feel too fast or underdeveloped."
Kirameki Unforent,emotional_reboot,live_frequency,3,1,0,1,"Moderate live work keeps the reboot visible without destabilizing operations.","Members need chances to rebuild belief without being overloaded.","Fans need enough activity to believe the revival is real."
Kirameki Unforent,emotional_reboot,online_benefit_emphasis,1,0,0,0,"Online access is supplementary during rebuild.","Manageable if it does not replace rest.","Fans may appreciate access, but story and live identity matter more."
Kirameki Unforent,emotional_reboot,shooting_handshake_emphasis,2,0,-1,1,"Physical access can help restart member relationships.","It may pressure members whose prior lives and careers need stability.","Fans may value direct reassurance that the reboot is sincere."
Kirameki Unforent,emotional_reboot,post_live_tokutenkai_emphasis,3,2,-1,2,"Tokutenkai can rebuild direct relationships if volume is controlled.","Members need clear boundaries and protected off-days.","Fans want personal contact but also need trust in management."
Kirameki Unforent,emotional_reboot,media_ip_emphasis,2,0,0,0,"Media helps the revival story but cannot replace operational trust.","Members benefit if exposure supports their personal comeback story.","Fans respond more to sincerity than scale."
Kirameki Unforent,emotional_reboot,production_investment,2,-1,1,1,"Some investment signals commitment, but overspending could destabilize the reboot.","Members need visible belief from management.","Fans notice whether the reboot feels serious."
Kirameki Unforent,emotional_reboot,rest_protection,4,-1,3,1,"Protected off-days reduce short-term flexibility but support credibility and retention.","Members with prior careers and disappointments need trust and recovery.","Fans may respect management that protects members after past instability."
Kirameki Unforent,emotional_reboot,roster_renewal_system,3,1,0,0,"Recruitment is central to the reboot but should be narrative-fit rather than mass replacement.","Members need role clarity and belief in the chosen cast.","Fans will judge whether the lineup feels emotionally coherent."
